rank,Company,Diversity List URL,Type,City,State,Industry,F500-2017
1,Texas Health Resources,http://fortune.com/best-workplaces-for-diversity/texas-health-resources-1/,Non-Profit,Arlington,Texas,Health Care,N
2,Delta Air Lines,http://fortune.com/best-workplaces-for-diversity/delta-air-lines-2/,Public,Atlanta,Georgia,Transportation,Y
3,Navy Federal Credit Union,http://fortune.com/best-workplaces-for-diversity/navy-federal-credit-union-3/,Non-Profit,Vienna,Virginia,Financial Services,N
4,Kimpton Hotels & Restaurants,http://fortune.com/best-workplaces-for-diversity/kimpton-hotels-restaurants-4/,Public,San Francisco,California,Hospitality,N
5,Ultimate Software,http://fortune.com/best-workplaces-for-diversity/ultimate-software-5/,Public,Weston,Florida,Technology,N
6,Miami Children's Health System,http://fortune.com/best-workplaces-for-diversity/miami-childrens-health-system-6/,Non-Profit,Miami,Florida,Health Care,N
7,Marriott International,http://fortune.com/best-workplaces-for-diversity/marriott-international-7/,Public,Bethesda,Maryland,Hospitality,Y
8,Build-A-Bear Workshop,http://fortune.com/best-workplaces-for-diversity/build-a-bear-workshop-8/,Public,St. Louis,Missouri,Retail,N
9,Quicken Loans,http://fortune.com/best-workplaces-for-diversity/quicken-loans-9/,Private,Detroit,Michigan,Financial Services,N
10,USAA,http://fortune.com/best-workplaces-for-diversity/usaa-10/,Private,San Antonio,Texas,Financial Services,N
11,Wegmans Food Markets,http://fortune.com/best-workplaces-for-diversity/wegmans-food-markets-11/,Private,Rochester,New York,Retail,N
12,Comcast,http://fortune.com/best-workplaces-for-diversity/comcast-12/,Public,Philadelphia,Pennsylvania,Telecommunications,Y
13,Intuit,http://fortune.com/best-workplaces-for-diversity/intuit-13/,Public,Mountain View,California,Technology,N
14,American Express,http://fortune.com/best-workplaces-for-diversity/american-express-14/,Public,New York City,New York,Financial Services,Y
15,Camden Property Trust,http://fortune.com/best-workplaces-for-diversity/camden-property-trust-15/,Public,Houston,Texas,Real Estate,N
16,Capital One Financial,http://fortune.com/best-workplaces-for-diversity/capital-one-financial-16/,Public,McLean,Virginia,Financial Services,Y
17,St. Jude Children's Research Hospital,http://fortune.com/best-workplaces-for-diversity/st-jude-childrens-research-hospital-17/,Non-Profit,Memphis,Tennessee,Health Care,N
18,Baptist Health South Florida,http://fortune.com/best-workplaces-for-diversity/baptist-health-south-florida-18/,Non-Profit,Coral Gables,Florida,Health Care,N
19,Scripps Health,http://fortune.com/best-workplaces-for-diversity/scripps-health-19/,Non-Profit,San Diego,California,Health Care,N
20,Edmunds.com,http://fortune.com/best-workplaces-for-diversity/edmunds-com-20/,Private,Santa Monica,California,Technology,N
21,Methodist Le Bonheur Healthcare,http://fortune.com/best-workplaces-for-diversity/methodist-le-bonheur-healthcare-21/,Non-Profit,Memphis,Tennessee,Health Care,N
22,Workday,http://fortune.com/best-workplaces-for-diversity/workday-22/,Public,Pleasanton,California,Technology,N
23,Ikea Holding U.S.,http://fortune.com/best-workplaces-for-diversity/ikea-holding-u-s-23/,Private,Conshohocken,Pennsylvania,Retail,N
24,Alston & Bird,http://fortune.com/best-workplaces-for-diversity/alston-bird-24/,Partnership,Atlanta,Georgia,Legal,N
25,Slalom,http://fortune.com/best-workplaces-for-diversity/slalom-25/,Private,Seattle,Washigton,Consulting,N
26,"Orrick, Herrington & Sutcliffe",http://fortune.com/best-workplaces-for-diversity/orrick-herrington-sutcliffe-26/,Partnership,San Francisco,California,Legal,N
27,PricewaterhouseCoopers,http://fortune.com/best-workplaces-for-diversity/pricewaterhousecoopers-27/,"Private, Partnership",New York City,New York,Professional Services,N
28,The Boston Consulting Group,http://fortune.com/best-workplaces-for-diversity/the-boston-consulting-group-28/,Private,Boston,Massachusetts,Consulting,N
29,Synchrony Financial,http://fortune.com/best-workplaces-for-diversity/synchrony-financial-29/,Public,Stamford,Connecticut,Financial Services,Y
30,Novo Nordisk,http://fortune.com/best-workplaces-for-diversity/novo-nordisk-30/,Public,Plainsboro,New Jersey,Biotechnology,N
31,Aflac,http://fortune.com/best-workplaces-for-diversity/aflac-31/,Public,Columbus,Georgia,Financial Services,Y
32,Atlassian,http://fortune.com/best-workplaces-for-diversity/atlassian-32/,Public,San Francisco,California,Information Technology,N
33,Old Navy,http://fortune.com/best-workplaces-for-diversity/old-navy-33/,Public,San Francisco,California,Retail,N
34,Grow Financial Federal Credit Union,http://fortune.com/best-workplaces-for-diversity/grow-financial-federal-credit-union-34/,Non-Profit,Tampa,Florida,Financial Services,N
35,Alliance Data,http://fortune.com/best-workplaces-for-diversity/alliance-data-35/,Public,Plano,Texas,Marketing,Y
36,Atlantic Health System,http://fortune.com/best-workplaces-for-diversity/atlantic-health-system-36/,Non-Profit,Morristown,New Jersey,Health Care,N
37,Salesforce,http://fortune.com/best-workplaces-for-diversity/salesforce-37/,Public,San Francisco,California,Technology,N
38,Foot Locker,http://fortune.com/best-workplaces-for-diversity/foot-locker-38/,Public,New York City,New York,Retail,N
39,AT&T,http://fortune.com/best-workplaces-for-diversity/att-39/,Public,Dallas,Texas,Telecommunications,N
40,American Fidelity Assurance,http://fortune.com/best-workplaces-for-diversity/american-fidelity-assurance-40/,Private,Oklahoma City,Oklahoma,Financial Services,N
41,SAP America,http://fortune.com/best-workplaces-for-diversity/sap-america-41/,Public,Newtown Square,Pennsylvania,Technology,N
42,First American Financial Corp.,http://fortune.com/best-workplaces-for-diversity/first-american-financial-corp-42/,Public,Santa Ana,California,Financial Services,Y
43,Nationwide,http://fortune.com/best-workplaces-for-diversity/nationwide-43/,Private,Columbus,Ohio,Financial Services,Y
44,On Deck Capital,http://fortune.com/best-workplaces-for-diversity/on-deck-capital-44/,Public,New York City,New York,Financial Services,N
45,JM Family Enterprises,http://fortune.com/best-workplaces-for-diversity/jm-family-enterprises-45/,Private,Deerfield Beach,Florida,Automotive,N
46,Dropbox,http://fortune.com/best-workplaces-for-diversity/dropbox-46/,Private,San Francisco,California,Technology,N
47,Mars,http://fortune.com/best-workplaces-for-diversity/mars-47/,Private,McLean,Virginia,Manufacturing & Production,N
48,Adeptus Health,http://fortune.com/best-workplaces-for-diversity/adeptus-health-48/,Public,Lewisville,Texas,Health Care,N
